COUNTRY,AREA,YEAR,TEMPERATURE,GDP PER CAPITA,POPULATION DENSITY,LATITUDE,LONGITUDE,ELEVATION
Indonesia,KalimantanUtara,2015.0,27.6,7181.3,9.0,3.023582,116.204931,684.0
Indonesia,BangkaBelitung,2010.0,27.0,3180.06,75.0,-2.705289,106.358561,55.0
Indonesia,BangkaBelitung,2011.0,27.4,3701.87,77.0,-2.705289,106.358561,55.0
Indonesia,BangkaBelitung,2012.0,27.0,3759.68,78.0,-2.705289,106.358561,55.0
Indonesia,BangkaBelitung,2013.0,27.0,3662.61,80.0,-2.705289,106.358561,55.0
Indonesia,BangkaBelitung,2014.0,27.2,3535.47,82.0,-2.705289,106.358561,55.0
Indonesia,BangkaBelitung,2015.0,27.3,3318.03,84.0,-2.705289,106.358561,55.0
Indonesia,KepulauanRiau,2010.0,27.0,7228.09,206.0,-0.154785,104.580374,851.0
Indonesia,KepulauanRiau,2011.0,26.8,8275.0,213.0,-0.154785,104.580374,851.0
Indonesia,KepulauanRiau,2012.0,26.8,8548.93,220.0,-0.154785,104.580374,851.0
Indonesia,KepulauanRiau,2013.0,26.8,8384.5,227.0,-0.154785,104.580374,851.0
Indonesia,KepulauanRiau,2014.0,27.1,7950.72,234.0,-0.154785,104.580374,851.0
Indonesia,KepulauanRiau,2015.0,27.0,7554.6,241.0,-0.154785,104.580374,851.0
Indonesia,Lampung,2010.0,26.7,2169.68,220.0,-4.855504,105.027299,49.0
Indonesia,Lampung,2011.0,26.8,2506.44,223.0,-4.855504,105.027299,49.0
Indonesia,Lampung,2012.0,26.8,2547.5,226.0,-4.855504,105.027299,49.0
Indonesia,Lampung,2013.0,26.7,2463.33,229.0,-4.855504,105.027299,49.0
Indonesia,Lampung,2014.0,25.8,2423.53,232.0,-4.855504,105.027299,49.0
Indonesia,Lampung,2015.0,27.1,2326.81,234.0,-4.855504,105.027299,49.0
Indonesia,Maluku,2010.0,26.9,1314.83,33.0,-3.118837,129.420776,1225.0
Indonesia,Maluku,2011.0,26.6,1551.24,33.0,-3.118837,129.420776,1225.0
Indonesia,Maluku,2012.0,26.4,1642.7,34.0,-3.118837,129.420776,1225.0
Indonesia,Maluku,2013.0,26.66,1633.97,35.0,-3.118837,129.420776,1225.0
Indonesia,Maluku,2014.0,26.6,1609.77,35.0,-3.118837,129.420776,1225.0
Indonesia,Maluku,2015.0,26.5,1521.07,36.0,-3.118837,129.420776,1225.0
Indonesia,MalukuUtara,2010.0,27.1,1579.93,33.0,0.630121,127.972022,132.0
Indonesia,MalukuUtara,2011.0,26.9,1824.69,33.0,0.630121,127.972022,132.0
Indonesia,MalukuUtara,2012.0,27.18,1888.56,34.0,0.630121,127.972022,132.0
Indonesia,MalukuUtara,2013.0,27.0,1838.26,35.0,0.630121,127.972022,132.0
Indonesia,MalukuUtara,2014.0,27.0,1779.54,36.0,0.630121,127.972022,132.0
Indonesia,MalukuUtara,2015.0,27.3,1711.68,36.0,0.630121,127.972022,132.0
Indonesia,NusaTenggaraBarat,2010.0,25.73,1708.19,243.0,-8.789286,117.146169,613.0
Indonesia,NusaTenggaraBarat,2011.0,25.8,1696.67,247.0,-8.789286,117.146169,613.0
Indonesia,NusaTenggaraBarat,2012.0,25.87,1582.54,250.0,-8.789286,117.146169,613.0
Indonesia,NusaTenggaraBarat,2013.0,28.3,1493.89,254.0,-8.789286,117.146169,613.0
Indonesia,NusaTenggaraBarat,2014.0,26.9,1441.02,257.0,-8.789286,117.146169,613.0
Indonesia,NusaTenggaraBarat,2015.0,26.1,1632.05,260.0,-8.789286,117.146169,613.0
Indonesia,NusaTenggaraTimur,2010.0,26.88,1024.95,97.0,-8.565679,120.697858,1104.0
Indonesia,NusaTenggaraTimur,2011.0,27.0,1162.37,98.0,-8.565679,120.697858,1104.0
Indonesia,NusaTenggaraTimur,2012.0,27.2,1200.6,100.0,-8.565679,120.697858,1104.0
Indonesia,NusaTenggaraTimur,2013.0,27.5,1183.35,102.0,-8.565679,120.697858,1104.0
Indonesia,NusaTenggaraTimur,2014.0,27.4,1146.21,103.0,-8.565679,120.697858,1104.0
Indonesia,NusaTenggaraTimur,2015.0,27.5,1110.4,105.0,-8.565679,120.697858,1104.0
Indonesia,Papua,2010.0,27.0,4266.79,9.0,-3.988573,138.348522,2787.0
Indonesia,Papua,2011.0,27.1,4231.6,9.0,-3.988573,138.348522,2787.0
Indonesia,Papua,2012.0,27.0,4041.66,9.0,-3.988573,138.348522,2787.0
Indonesia,Papua,2013.0,27.9,3872.83,10.0,-3.988573,138.348522,2787.0
Indonesia,Papua,2014.0,28.1,3635.42,10.0,-3.988573,138.348522,2787.0
Indonesia,Papua,2015.0,27.8,3564.57,10.0,-3.988573,138.348522,2787.0
Indonesia,PapuaBarat,2010.0,27.3,5946.02,8.0,-1.384236,132.902528,1005.0
Indonesia,PapuaBarat,2011.0,27.1,6420.19,8.0,-1.384236,132.902528,1005.0
Indonesia,PapuaBarat,2012.0,27.2,6260.66,8.0,-1.384236,132.902528,1005.0
Indonesia,PapuaBarat,2013.0,27.3,6116.45,9.0,-1.384236,132.902528,1005.0
Indonesia,PapuaBarat,2014.0,27.5,5770.21,9.0,-1.384236,132.902528,1005.0
Indonesia,PapuaBarat,2015.0,27.4,5389.49,9.0,-1.384236,132.902528,1005.0
Indonesia,Riau,2010.0,27.7,7667.88,64.0,0.500411,101.547581,19.0
Indonesia,Riau,2011.0,27.0,9670.6,66.0,0.500411,101.547581,19.0
Indonesia,Riau,2012.0,27.3,10121.05,68.0,0.500411,101.547581,19.0
Indonesia,Riau,2013.0,26.0,9625.41,69.0,0.500411,101.547581,19.0
Indonesia,Riau,2014.0,27.2,9252.81,71.0,0.500411,101.547581,19.0
Indonesia,Riau,2015.0,27.2,7684.5,73.0,0.500411,101.547581,19.0
Indonesia,SulawesiBarat,2010.0,27.6,1623.26,69.0,-2.497455,119.391896,334.0
Indonesia,SulawesiBarat,2011.0,27.7,1938.64,71.0,-2.497455,119.391896,334.0
Indonesia,SulawesiBarat,2012.0,27.6,1991.08,72.0,-2.497455,119.391896,334.0
Indonesia,SulawesiBarat,2013.0,27.6,1955.58,74.0,-2.497455,119.391896,334.0
Indonesia,SulawesiBarat,2014.0,27.9,1973.46,75.0,-2.497455,119.391896,334.0
Indonesia,SulawesiBarat,2015.0,27.9,1921.58,76.0,-2.497455,119.391896,334.0
Indonesia,SulawesiSelatan,2010.0,27.2,2343.97,173.0,-3.644672,119.947191,454.0
